TID: [2026-01-08 20:28:55,247]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2026-01-08 20:29:08,926] []  INFO {org.wso2.carbon.identity.user.store.configuration.utils.SecondaryUserStoreConfigurationUtil} - folder 'userstores' created to store configurations for tenant = -1234
TID: [] [] [2026-01-08 20:29:09,921] []  INFO {org.wso2.carbon.user.core.common.UserStoreDeploymentManager} - Realm configuration of tenant:-1234  modified with /Users/udeepa/Desktop/VC/IS-Packs/wso2is-7.2.1-SNAPSHOT/repository/deployment/server/userstores/AGENT.xml
TID: [] [] [2026-01-08 20:29:13,386] []  INFO {org.hibernate.validator.internal.util.Version} - HV000001: Hibernate Validator 6.2.5.Final
TID: [] [] [2026-01-08 20:29:19,953] []  INFO {org.wso2.carbon.core.transports.http.HttpTransportListener} - HTTP port        : 9763
TID: [] [] [2026-01-08 20:29:19,954] []  INFO {org.wso2.carbon.core.transports.http.HttpsTransportListener} - HTTPS port       : 9443
TID: [] [] [2026-01-08 20:29:20,123] []  WARN {org.apache.tomcat.util.net.SSLUtilBase} - The trusted certificate with alias [wso2carbon] and DN [CN=localhost, OU=WSO2, O=WSO2, L=Santa Clara, ST=CA, C=US] is not valid due to [NotAfter: Thu Jan 08 14:02:07 IST 2026]. Certificates signed by this trusted certificate WILL be accepted
TID: [] [] [2026-01-08 20:29:20,128] []  INFO {org.apache.tomcat.util.net.NioEndpoint.certificate} - Connector [https-jsse-nio-9443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from keystore [/Users/udeepa/Desktop/VC/IS-Packs/wso2is-7.2.1-SNAPSHOT/repository/resources/security/wso2carbon.p12] using alias [wso2carbon] with trust store [/Users/udeepa/Desktop/VC/IS-Packs/wso2is-7.2.1-SNAPSHOT/repository/resources/security/client-truststore.p12]
TID: [] [] [2026-01-08 20:29:20,157] []  INFO {org.wso2.identity.apps.common.internal.AppsCommonServiceStartupObserver} - My Account URL : https://localhost:9443/myaccount
TID: [] [] [2026-01-08 20:29:20,157] []  INFO {org.wso2.identity.apps.common.internal.AppsCommonServiceStartupObserver} - Console URL : https://localhost:9443/console
TID: [] [] [2026-01-08 20:29:20,157] []  INFO {org.wso2.carbon.core.internal.StartupFinalizerServiceComponent} - Server           :  WSO2 Identity Server-7.2.1-SNAPSHOT
TID: [] [] [2026-01-08 20:29:20,158] []  INFO {org.wso2.carbon.core.internal.StartupFinalizerServiceComponent} - WSO2 Carbon started in 25 sec
TID: [] [] [2026-01-08 20:29:20,169] []  INFO {org.wso2.carbon.healthcheck.api.core.internal.HealthMonitorServiceComponent} - Carbon health monitoring service is activated..
TID: [-1234] [] [2026-01-08 20:29:39,685] [cdf69264-eb13-47ff-a772-0d101359e836]  WARN {org.wso2.carbon.identity.oidc.session.OIDCInboundSessionContextMgtListener} - No session state found for the received Session ID : d4a07187-0eaa-498f-83bd-200af8a31a2c-v2
TID: [-1234] [] [2026-01-08 20:30:16,630] [12417fd0-c1c8-4c2f-b695-fe20642daa65]  INFO {org.opensaml.core.config.InitializationService} - Initializing OpenSAML using the Java Services API
TID: [-1234] [] [2026-01-08 20:31:31,431] [99162b77-d7aa-4778-903d-edf8ac964c6d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - === WalletAuthenticator.canHandle called ===
TID: [-1234] [] [2026-01-08 20:31:31,432] [99162b77-d7aa-4778-903d-edf8ac964c6d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} -     proceedAuth=null
TID: [-1234] [] [2026-01-08 20:31:31,433] [99162b77-d7aa-4778-903d-edf8ac964c6d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} -     walletState=null
TID: [-1234] [] [2026-01-08 20:31:31,433] [99162b77-d7aa-4778-903d-edf8ac964c6d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} -     sessionDataKey=36201efe-7185-4a53-8f24-1e308c702bdb
TID: [-1234] [] [2026-01-08 20:31:31,434] [99162b77-d7aa-4778-903d-edf8ac964c6d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} -     canHandle result=false
TID: [-1234] [] [2026-01-08 20:31:31,434] [99162b77-d7aa-4778-903d-edf8ac964c6d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - === WalletAuthenticator.initiateAuthenticationRequest CALLED ===
TID: [-1234] [] [2026-01-08 20:31:31,435] [99162b77-d7aa-4778-903d-edf8ac964c6d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - Generated state: 4fa0ee09-233d-4b20-ba5a-f9ef9b07dece, sessionDataKey: 36201efe-7185-4a53-8f24-1e308c702bdb
TID: [-1234] [] [2026-01-08 20:31:31,439] [99162b77-d7aa-4778-903d-edf8ac964c6d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - === REDIRECTING TO QR CODE PAGE: https://localhost:9443/authenticationendpoint/wallet/login.jsp?walletState=4fa0ee09-233d-4b20-ba5a-f9ef9b07dece&client_id=pCUHiAzyP1VdZwCBHNq_XdRJRbQa&code_challenge=4IIyHGdyX4J76l4Cj83wBZGv1tLi6Bu3qXZwQ5V4xTQ&code_challenge_method=S256&commonAuthCallerPath=%2Foauth2%2Fauthorize&forceAuth=false&passiveAuth=false&redirect_uri=http%3A%2F%2Flocalhost%3A5173&response_mode=query&response_type=code&scope=openid+profile&state=request_0&sessionDataKey=36201efe-7185-4a53-8f24-1e308c702bdb&relyingParty=pCUHiAzyP1VdZwCBHNq_XdRJRbQa&type=oidc&sp=WalletAuth&spId=dd304979-1fdb-41d7-b3c0-6d5f0338a19c&&isSaaSApp=false ===
TID: [-1234] [] [2026-01-08 20:31:31,440] [99162b77-d7aa-4778-903d-edf8ac964c6d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - === REDIRECT SENT SUCCESSFULLY ===
TID: [-1234] [] [2026-01-08 21:03:28,061] [f41589a4-aeae-4883-a3a2-f92f40e6e5f2]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - === WalletAuthenticator.canHandle called ===
TID: [-1234] [] [2026-01-08 21:03:28,062] [f41589a4-aeae-4883-a3a2-f92f40e6e5f2]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} -     proceedAuth=null
TID: [-1234] [] [2026-01-08 21:03:28,062] [f41589a4-aeae-4883-a3a2-f92f40e6e5f2]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} -     walletState=null
TID: [-1234] [] [2026-01-08 21:03:28,062] [f41589a4-aeae-4883-a3a2-f92f40e6e5f2]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} -     sessionDataKey=36201efe-7185-4a53-8f24-1e308c702bdb
TID: [-1234] [] [2026-01-08 21:03:28,063] [f41589a4-aeae-4883-a3a2-f92f40e6e5f2]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} -     canHandle result=false
TID: [-1234] [] [2026-01-08 21:03:28,063] [f41589a4-aeae-4883-a3a2-f92f40e6e5f2]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - === WalletAuthenticator.initiateAuthenticationRequest CALLED ===
TID: [-1234] [] [2026-01-08 21:03:28,063] [f41589a4-aeae-4883-a3a2-f92f40e6e5f2]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - Generated state: 191e1b97-1f89-4793-b585-230788396e40, sessionDataKey: 36201efe-7185-4a53-8f24-1e308c702bdb
TID: [-1234] [] [2026-01-08 21:03:28,063] [f41589a4-aeae-4883-a3a2-f92f40e6e5f2]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - === REDIRECTING TO QR CODE PAGE: https://localhost:9443/authenticationendpoint/wallet/login.jsp?walletState=191e1b97-1f89-4793-b585-230788396e40&client_id=pCUHiAzyP1VdZwCBHNq_XdRJRbQa&code_challenge=4IIyHGdyX4J76l4Cj83wBZGv1tLi6Bu3qXZwQ5V4xTQ&code_challenge_method=S256&commonAuthCallerPath=%2Foauth2%2Fauthorize&forceAuth=false&passiveAuth=false&redirect_uri=http%3A%2F%2Flocalhost%3A5173&response_mode=query&response_type=code&scope=openid+profile&state=request_0&sessionDataKey=36201efe-7185-4a53-8f24-1e308c702bdb&relyingParty=pCUHiAzyP1VdZwCBHNq_XdRJRbQa&type=oidc&sp=WalletAuth&spId=dd304979-1fdb-41d7-b3c0-6d5f0338a19c&&isSaaSApp=false ===
TID: [-1234] [] [2026-01-08 21:03:28,063] [f41589a4-aeae-4883-a3a2-f92f40e6e5f2]  INFO {org.wso2.carbon.identity.openid4vc.presentation.authenticator.WalletAuthenticator} - === REDIRECT SENT SUCCESSFULLY ===
TID: [-1234] [] [2026-01-08 21:03:30,291] [5314391b-88e3-4933-8955-a67f0b17e329]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:30,293] [5314391b-88e3-4933-8955-a67f0b17e329]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:30,293] [5314391b-88e3-4933-8955-a67f0b17e329]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:32,290] [37352644-16a7-45f5-8c8f-84d30b090308]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:32,290] [37352644-16a7-45f5-8c8f-84d30b090308]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:32,290] [37352644-16a7-45f5-8c8f-84d30b090308]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:34,777] [6d1e7d61-6ddb-4827-a38b-b2068974f6b3]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:34,779] [6d1e7d61-6ddb-4827-a38b-b2068974f6b3]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:34,779] [6d1e7d61-6ddb-4827-a38b-b2068974f6b3]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:36,777] [e33c23ca-bf29-40cb-8bf5-e3219143ed9c]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:36,777] [e33c23ca-bf29-40cb-8bf5-e3219143ed9c]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:36,778] [e33c23ca-bf29-40cb-8bf5-e3219143ed9c]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:38,776] [7ac69983-1307-4460-b40c-31189cc6313c]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:38,777] [7ac69983-1307-4460-b40c-31189cc6313c]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:38,777] [7ac69983-1307-4460-b40c-31189cc6313c]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:40,778] [ec6958cf-3913-441d-a9ab-7ce6c8514ace]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:40,779] [ec6958cf-3913-441d-a9ab-7ce6c8514ace]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:40,780] [ec6958cf-3913-441d-a9ab-7ce6c8514ace]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:42,778] [cee40b25-5ad7-4e2a-99d9-4ac04df5aaea]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:42,779] [cee40b25-5ad7-4e2a-99d9-4ac04df5aaea]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:42,780] [cee40b25-5ad7-4e2a-99d9-4ac04df5aaea]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:44,785] [253d3888-c271-4fe3-aa14-71b34734425d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:44,786] [253d3888-c271-4fe3-aa14-71b34734425d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:44,786] [253d3888-c271-4fe3-aa14-71b34734425d]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:46,777] [e01b79f6-44bf-4093-b40c-b87f8374a4bd]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:46,778] [e01b79f6-44bf-4093-b40c-b87f8374a4bd]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:46,778] [e01b79f6-44bf-4093-b40c-b87f8374a4bd]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:48,777] [5d7b4f30-c145-49e6-9cb6-43712eff6a02]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:48,778] [5d7b4f30-c145-49e6-9cb6-43712eff6a02]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:48,779] [5d7b4f30-c145-49e6-9cb6-43712eff6a02]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:50,779] [23f267c6-0d70-48d9-9421-edc292bca4c9]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:50,780] [23f267c6-0d70-48d9-9421-edc292bca4c9]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:50,780] [23f267c6-0d70-48d9-9421-edc292bca4c9]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:52,783] [da596429-dc85-44ef-a798-9f49d8f0675a]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:52,784] [da596429-dc85-44ef-a798-9f49d8f0675a]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:52,784] [da596429-dc85-44ef-a798-9f49d8f0675a]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:54,777] [b514daf3-e9bd-4501-a6ff-3fcddc165e9c]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:54,778] [b514daf3-e9bd-4501-a6ff-3fcddc165e9c]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:54,778] [b514daf3-e9bd-4501-a6ff-3fcddc165e9c]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:56,778] [7133acf1-3676-43a0-8e21-0fa5aafa2c72]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:56,779] [7133acf1-3676-43a0-8e21-0fa5aafa2c72]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:56,779] [7133acf1-3676-43a0-8e21-0fa5aafa2c72]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:03:58,777] [68014058-2fe2-4e03-9ef0-46e1461ad5e7]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:03:58,778] [68014058-2fe2-4e03-9ef0-46e1461ad5e7]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:03:58,778] [68014058-2fe2-4e03-9ef0-46e1461ad5e7]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:04:00,777] [f19c7c13-50d8-484e-ab0f-385f7ac49ece]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:04:00,778] [f19c7c13-50d8-484e-ab0f-385f7ac49ece]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:04:00,779] [f19c7c13-50d8-484e-ab0f-385f7ac49ece]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:04:02,776] [d8fbbda8-8ae5-49c7-a3cf-d98bb0447ab5]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:04:02,778] [d8fbbda8-8ae5-49c7-a3cf-d98bb0447ab5]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:04:02,778] [d8fbbda8-8ae5-49c7-a3cf-d98bb0447ab5]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:04:04,777] [28702f6f-85c5-46ef-a57a-4d41b5ff6969]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:04:04,778] [28702f6f-85c5-46ef-a57a-4d41b5ff6969]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
TID: [-1234] [] [2026-01-08 21:04:04,779] [28702f6f-85c5-46ef-a57a-4d41b5ff6969]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     Token received for state 191e1b97-1f89-4793-b585-230788396e40: false
TID: [-1234] [] [2026-01-08 21:04:06,778] [83a1a0d1-3f59-4522-81d3-b432adee6b93]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} - === WalletStatusServlet.doGet called ===
TID: [-1234] [] [2026-01-08 21:04:06,780] [83a1a0d1-3f59-4522-81d3-b432adee6b93]  INFO {org.wso2.carbon.identity.openid4vc.presentation.servlet.WalletStatusServlet} -     state parameter: 191e1b97-1f89-4793-b585-230788396e40
